Sample;Fragment;Global_colonisation;a_glo;v_glo;a_muc;Glomero_rate;Mucoro_rate
MP_5_T1;1;4;0;0;3;0;100
MP_5_T1;2;3;0;0;3;0;100
MP_5_T1;3;3;0;0;3;0;100
MP_5_T1;4;3;3;2;3;75;25
MP_5_T1;5;2;1;0;1;50;50
MP_5_T1;6;4;0;0;3;0;100
MP_5_T1;7;3;1;0;3;25;75
MP_5_T1;8;4;0;0;3;0;100
MP_5_T1;9;2;0;2;2;25;75
MP_5_T1;10;4;0;0;3;25;75
MP_5_T1;11;1;0;0;3;10;90
MP_5_T1;12;2;2;1;0;100;0
MP_5_T1;13;2;2;2;0;100;0
MP_5_T1;14;1;3;0;0;100;0
MP_5_T1;15;;0;0;0;0;0
MP_5_T1;16;2;0;0;1;50;50
MP_5_T1;17;4;2;2;3;50;50
MP_5_T1;18;4;2;3;2;50;50
MP_5_T1;19;4;3;0;2;50;50
MP_5_T1;20;4;0;0;2;10;90
MP_5_T1;21;3;1;0;0;100;0
MP_5_T1;22;4;2;0;3;50;50
MP_5_T1;23;4;0;0;2;0;100
MP_5_T1;24;4;0;0;3;0;100
MP_5_T1;25;4;3;0;3;50;50
MP_5_T1;26;2;0;0;1;0;100
MP_5_T1;27;3;2;0;2;0;0
MP_5_T1;28;1;0;0;1;0;100
MP_5_T1;29;5;0;0;3;0;100
MP_5_T1;30;0;0;0;0;0;0
MP_1_T1;1;3;2;2;3;25;75
MP_1_T1;2;1;1;0;0;90;10
MP_1_T1;3;2;0;0;2;0;100
MP_1_T1;4;2;2;0;2;50;50
MP_1_T1;5;0;0;0;0;0;0
MP_1_T1;6;3;1;0;3;25;75
MP_1_T1;7;3;0;0;2;0;100
MP_1_T1;8;3;2;1;3;25;75
MP_1_T1;9;3;3;0;3;50;50
MP_1_T1;10;0;0;0;0;0;0
MP_1_T1;11;1;0;0;0;0;100
MP_1_T1;12;2;1;0;0;100;0
MP_1_T1;13;2;1;0;1;75;25
MP_1_T1;14;3;3;0;3;10;90
MP_1_T1;15;;0;0;0;0;0
MP_1_T1;16;1;2;0;0;100;0
MP_1_T1;17;1;1;0;1;75;25
MP_1_T1;18;4;3;3;3;75;25
MP_1_T1;19;4;0;0;3;100;0
MP_1_T1;20;0;0;0;0;0;0
MP_1_T1;21;0;0;0;0;0;0
MP_1_T1;22;0;0;0;0;0;0
MP_1_T1;23;3;0;0;3;10;90
MP_1_T1;24;2;0;0;3;0;100
MP_1_T1;25;0;0;0;0;0;0
MP_1_T1;26;2;0;0;3;0;100
MP_1_T1;27;1;0;0;0;100;0
MP_1_T1;28;0;0;0;0;0;0
MP_1_T1;29;0;0;0;0;0;0
MP_1_T1;30;1;2;0;0;100;0
MP_02_T1;1;2;0;0;2;0;100
MP_02_T1;2;4;0;0;3;0;100
MP_02_T1;3;3;0;0;3;25;75
MP_02_T1;4;1;2;0;2;50;50
MP_02_T1;5;2;0;0;2;0;100
MP_02_T1;6;1;0;0;2;0;100
MP_02_T1;7;4;0;0;3;0;100
MP_02_T1;8;1;2;0;0;100;0
MP_02_T1;9;3;0;0;2;0;100
MP_02_T1;10;4;2;2;3;25;75
MP_02_T1;11;0;0;0;0;0;0
MP_02_T1;12;1;0;0;3;0;100
MP_02_T1;13;4;0;0;3;0;100
MP_02_T1;14;1;0;0;0;0;100
MP_02_T1;15;2;0;0;2;0;100
MP_02_T1;16;1;0;0;3;0;100
MP_02_T1;17;2;2;0;2;25;75
MP_02_T1;18;2;0;0;3;0;100
MP_02_T1;19;2;0;0;3;0;100
MP_02_T1;20;2;2;1;2;50;50
MP_02_T1;21;4;2;1;2;25;75
MP_02_T1;22;2;0;0;3;0;100
MP_02_T1;23;4;0;0;3;0;100
MP_02_T1;24;3;0;0;3;0;100
MP_02_T1;25;4;0;0;3;0;100
MP_02_T1;26;3;0;0;2;0;100
MP_02_T1;27;4;1;0;3;1;99
MP_02_T1;28;2;0;0;2;0;100
MP_02_T1;29;0;0;0;0;0;0
MP_02_T1;30;0;0;0;0;0;0
MP_03_T1;1;2;0;0;1;0;100
MP_03_T1;2;2;0;3;1;75;25
MP_03_T1;3;4;1;0;3;25;75
MP_03_T1;4;2;1;0;0;100;0
MP_03_T1;5;3;0;0;3;10;90
MP_03_T1;6;1;0;0;2;0;100
MP_03_T1;7;4;1;0;3;10;90
MP_03_T1;8;2;2;0;2;10;90
MP_03_T1;9;2;0;0;0;100;0
MP_03_T1;10;1;0;0;2;0;100
MP_03_T1;11;4;0;3;3;1;99
MP_03_T1;12;0;0;0;0;0;0
MP_03_T1;13;4;0;0;3;0;100
MP_03_T1;14;1;0;0;0;100;0
MP_03_T1;15;0;0;0;0;0;0
MP_03_T1;16;4;0;0;3;0;100
MP_03_T1;17;4;0;0;3;0;100
MP_03_T1;18;5;0;0;3;0;100
MP_03_T1;19;2;0;0;2;0;100
MP_03_T1;20;4;0;0;3;10;90
MP_03_T1;21;0;0;0;0;0;0
MP_03_T1;22;3;1;0;3;25;75
MP_03_T1;23;4;0;0;2;0;100
MP_03_T1;24;0;0;0;0;0;0
MP_03_T1;25;0;0;0;0;0;0
MP_03_T1;26;2;1;2;3;25;75
MP_03_T1;27;2;1;2;2;25;75
MP_03_T1;28;3;0;0;2;10;90
MP_03_T1;29;0;0;0;0;0;0
MP_03_T1;30;2;0;0;2;10;90
MP_04_T1;1;4;0;0;3;0;100
MP_04_T1;2;1;0;0;2;0;100
MP_04_T1;3;3;0;0;3;0;100
MP_04_T1;4;4;2;3;3;25;75
MP_04_T1;5;4;0;0;3;10;90
MP_04_T1;6;2;0;0;1;50;50
MP_04_T1;7;0;0;0;0;0;0
MP_04_T1;8;3;0;0;2;0;100
MP_04_T1;9;4;0;0;2;0;100
MP_04_T1;10;3;0;0;3;1;99
MP_04_T1;11;3;0;0;2;10;90
MP_04_T1;12;2;0;0;0;50;50
MP_04_T1;13;0;0;0;0;0;0
MP_04_T1;14;2;3;2;3;75;25
MP_04_T1;15;0;0;0;0;0;0
MP_04_T1;16;4;1;0;2;10;90
MP_04_T1;17;1;0;0;0;100;0
MP_04_T1;18;0;0;0;0;0;0
MP_04_T1;19;4;0;2;2;50;50
MP_04_T1;20;0;0;0;0;0;0
MP_04_T1;21;5;0;0;3;0;100
MP_04_T1;22;2;0;0;2;10;90
MP_04_T1;23;0;0;0;0;0;0
MP_04_T1;24;3;0;0;3;1;99
MP_04_T1;25;0;0;0;0;0;0
MP_04_T1;26;0;0;0;0;0;0
MP_04_T1;27;4;1;0;2;10;90
MP_04_T1;28;4;0;0;2;0;100
MP_04_T1;29;2;0;0;2;0;100
MP_04_T1;30;4;0;0;3;0;100
MP_06_T1;1;3;1;0;2;25;75
MP_06_T1;2;0;0;0;0;0;0
MP_06_T1;3;4;0;0;3;10;90
MP_06_T1;4;2;0;0;2;0;100
MP_06_T1;5;0;0;0;0;0;0
MP_06_T1;6;3;0;0;3;0;100
MP_06_T1;7;2;1;1;1;50;50
MP_06_T1;8;0;0;0;0;0;0
MP_06_T1;9;4;1;1;3;10;90
MP_06_T1;10;4;0;0;3;0;100
MP_06_T1;11;0;0;0;0;0;0
MP_06_T1;12;3;0;0;3;0;100
MP_06_T1;13;2;2;3;3;25;75
MP_06_T1;14;0;0;0;0;0;0
MP_06_T1;15;1;0;0;0;100;0
MP_06_T1;16;1;0;0;0;100;0
MP_06_T1;17;1;0;0;3;0;100
MP_06_T1;18;4;1;2;3;1;99
MP_06_T1;19;1;0;0;2;0;100
MP_06_T1;20;0;0;0;0;0;0
MP_06_T1;21;5;0;0;3;0;100
MP_06_T1;22;1;0;0;3;0;100
MP_06_T1;23;0;0;0;0;0;0
MP_06_T1;24;1;0;0;2;0;100
MP_06_T1;25;0;0;0;0;0;0
MP_06_T1;26;3;0;0;3;0;100
MP_06_T1;27;5;1;0;3;25;75
MP_06_T1;28;0;0;0;0;0;0
MP_06_T1;29;3;0;0;3;1;99
MP_06_T1;30;0;0;0;0;0;0
MP_07_T1;1;3;1;0;2;1;99
MP_07_T1;2;2;0;0;2;1;99
MP_07_T1;3;1;0;0;3;0;100
MP_07_T1;4;0;0;0;1;0;100
MP_07_T1;5;2;0;0;1;0;100
MP_07_T1;6;1;1;1;0;100;0
MP_07_T1;7;2;1;1;1;75;25
MP_07_T1;8;3;0;0;2;0;100
MP_07_T1;9;2;1;2;3;25;75
MP_07_T1;10;3;1;0;0;100;0
MP_07_T1;11;0;0;0;0;0;0
MP_07_T1;12;1;0;0;0;100;0
MP_07_T1;13;1;0;1;0;100;0
MP_07_T1;14;0;0;0;0;0;0
MP_07_T1;15;2;2;2;3;75;25
MP_07_T1;16;1;0;0;1;0;100
MP_07_T1;17;3;0;0;2;0;100
MP_07_T1;18;1;0;0;0;100;0
MP_07_T1;19;3;1;1;2;50;50
MP_07_T1;20;2;0;0;3;0;100
MP_07_T1;21;1;2;2;0;100;0
MP_07_T1;22;1;1;0;2;50;50
MP_07_T1;23;0;0;0;0;0;0
MP_07_T1;24;1;0;0;3;0;100
MP_07_T1;25;3;2;1;0;100;0
MP_07_T1;26;0;0;0;0;0;0
MP_07_T1;27;1;0;0;2;0;100
MP_07_T1;28;3;1;0;3;10;90
MP_07_T1;29;1;0;0;3;0;100
MP_07_T1;30;0;0;0;0;0;0
MP_08_T1;1;2;0;3;2;75;25
MP_08_T1;2;2;0;0;2;0;100
MP_08_T1;3;3;0;0;2;0;100
MP_08_T1;4;2;0;0;3;0;100
MP_08_T1;5;0;0;0;0;0;0
MP_08_T1;6;4;1;2;3;10;90
MP_08_T1;7;2;0;0;1;1;99
MP_08_T1;8;2;0;0;2;0;100
MP_08_T1;9;2;0;0;2;0;100
MP_08_T1;10;4;1;0;3;1;99
MP_08_T1;11;3;0;0;3;0;100
MP_08_T1;12;4;0;0;3;0;100
MP_08_T1;13;3;1;3;2;10;90
MP_08_T1;14;3;3;0;3;90;10
MP_08_T1;15;0;0;0;0;0;0
MP_08_T1;16;2;0;0;2;0;100
MP_08_T1;17;2;0;0;1;0;100
MP_08_T1;18;2;0;2;2;10;90
MP_08_T1;19;1;0;0;1;1;99
MP_08_T1;20;3;0;0;3;0;100
MP_08_T1;21;1;0;0;2;0;100
MP_08_T1;22;0;0;0;0;0;0
MP_08_T1;23;3;0;1;3;1;99
MP_08_T1;24;1;0;2;1;50;50
MP_08_T1;25;3;0;0;3;0;100
MP_08_T1;26;1;0;0;1;0;100
MP_08_T1;27;2;0;2;2;50;50
MP_08_T1;28;0;0;0;0;0;0
MP_08_T1;29;2;2;1;2;25;75
MP_08_T1;30;1;0;0;3;0;100
T_plantain;1;4;3;2;0;100;0
T_plantain;2;5;3;0;0;100;0
